IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,RATE_PER_100_N,RATE_PER_100_NL,RATE_PER_100_NU
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2001,Female,14,11.7709,16.08876
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2005,Female,12,10.51758,14.33605
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2010,Female,10,8.89703,12.3139
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2011,Female,10,8.33913,11.65745
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2012,Female,10,8.16051,11.49788
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2013,Female,10,8.02438,11.4505
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2009,Female,11,9.08477,12.50836
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2015,Female,10,7.87905,11.65925
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2018,Female,9,6.45333,12.2024
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2002,Female,14,11.58847,15.78154
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2004,Female,13,10.95122,14.90404
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2006,Female,12,10.33963,14.11466
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2014,Female,10,8.01571,11.60505
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2016,Female,9,7.66202,11.66396
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2017,Female,9,7.14808,12.05498
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2019,Female,9,6.15947,12.35457
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2003,Female,14,11.42605,15.58589
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2007,Female,12,9.94321,13.58964
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2008,Female,11,9.68974,13.28666
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2000,Female,15,12.23426,16.69239
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2010,Male,12,10.35229,13.80107
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2012,Male,11,9.60407,13.0275
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2014,Male,11,9.21879,12.87911
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2015,Male,11,9.43936,13.39796
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2019,Male,11,7.37633,15.15564
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2004,Male,15,13.03658,16.90383
1F96863,Non-communicable diseases deaths (age 30 to 70),COUNTRY,170,Colombia,YEAR,2006,Male,14,12.6356,16.44928
