IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2000,Female,13.56538,12.65286,14.52546
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2001,Female,15.31936,14.30821,16.3872
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2002,Female,15.83197,14.84078,16.88813
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2003,Female,12.89314,11.93135,13.88121
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2006,Female,9.18827,8.38601,10.04119
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2014,Female,8.08051,6.74728,9.83775
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2019,Female,6.86019,4.49069,10.77803
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2013,Female,8.57329,7.35308,9.85574
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2010,Female,10.51082,9.41744,11.71974
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2012,Female,9.24257,8.08249,10.48464
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2016,Female,7.59459,5.95757,10.76999
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2017,Female,7.35258,5.37634,10.7175
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2005,Female,10.3497,9.47981,11.26216
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2011,Female,9.8711,8.76215,11.08521
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2015,Female,7.13279,5.8741,8.62346
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2018,Female,7.15852,4.8661,10.86853
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2007,Female,8.95588,8.14918,9.81916
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2008,Female,9.35685,8.46724,10.3111
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2009,Female,11.00294,9.88573,12.19646
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2004,Female,11.6845,10.77191,12.62762
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2010,Male,115.6242,107.9685,123.5452
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2017,Male,76.51896,62.68321,92.56145
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2000,Male,174.2437,167.0748,181.687
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2003,Male,141.1552,135.0181,147.4895
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2004,Male,131.5973,125.7659,137.4718
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2001,Male,178.2361,170.9078,185.9462
361734E,Homicide deaths,COUNTRY,170,Colombia,YEAR,2007,Male,103.5681,97.6758,109.489
