IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,PERCENT_POP_N,PERCENT_POP_NL,PERCENT_POP_NU
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2000,Female,8.6,5.2,12
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2020,Female,4.6,3.7,5.6
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2030,Female,3.5,2.2,4.7
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2007,Female,6.9,4.8,9
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2021,Female,4.5,3.5,5.5
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2022,Female,4.4,3.4,5.4
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2025,Female,4,2.9,5.1
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2005,Female,7.3,4.7,9.9
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2010,Female,6.2,4.7,7.8
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2015,Female,5.4,4.3,6.4
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2010,Male,16.8,12.4,21.1
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2025,Male,11.1,7.6,14.5
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2030,Male,9.7,5.7,13.8
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2020,Male,12.6,9.9,15.4
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2005,Male,19.5,13.2,25.8
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2000,Male,22.8,12.9,32.7
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2007,Male,18.3,12.7,23.9
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2015,Male,14.5,11.7,17.4
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2021,Male,12.3,9.4,15.1
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2022,Male,12,8.8,15.1
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2010,Total,11.5,8.6,14.5
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2025,Total,7.5,5.3,9.8
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2007,Total,12.6,8.8,16.4
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2005,Total,13.4,9,17.9
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2021,Total,8.4,6.4,10.3
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2015,Total,9.9,8,11.9
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2022,Total,8.2,6.1,10.3
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2000,Total,15.7,9,22.3
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2020,Total,8.6,6.8,10.5
75DDA77,Tobacco use,COUNTRY,170,Colombia,YEAR,2030,Total,6.6,4,9.2
