IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_1000_N,RATE_PER_1000_NL,RATE_PER_1000_NU
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,2018,0.28,0.18,0.43
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,2021,0.27,0.16,0.44
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,1991,0.22,0.16,0.31
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,1994,0.34,0.24,0.5
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,2012,0.25,0.18,0.34
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,2020,0.25,0.16,0.41
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,1992,0.26,0.19,0.38
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,1993,0.31,0.22,0.45
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,1995,0.37,0.27,0.54
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,1999,0.36,0.26,0.48
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,2003,0.29,0.23,0.37
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,2006,0.28,0.22,0.35
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,1996,0.38,0.27,0.55
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,1997,0.38,0.27,0.56
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,1998,0.37,0.27,0.52
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,2000,0.34,0.25,0.45
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,2004,0.3,0.23,0.37
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,2005,0.29,0.22,0.36
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,2007,0.28,0.22,0.35
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,2009,0.29,0.22,0.37
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,2008,0.29,0.23,0.37
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,2011,0.26,0.2,0.35
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,2013,0.26,0.19,0.36
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,2014,0.26,0.18,0.36
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,2015,0.26,0.18,0.37
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,2017,0.27,0.18,0.41
77D059C,HIV infections,COUNTRY,170,Colombia,YEAR,2022,0.26,0.16,0.45
