IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_100_N
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2020,18.5
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2000,14.88
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2001,15.38
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2011,16.48
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2015,17.04
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2016,17.66
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2017,18.6
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2019,16.53
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2003,15.6
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2004,15.74
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2002,14.86
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2006,16.06
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2009,17.04
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2012,16.2
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2007,16.28
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2021,19.01
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2005,16.83
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2008,16.69
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2010,16.83
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2013,16.34
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2014,16.18
B9C6C79,General government expenditure on domestic health,COUNTRY,170,Colombia,YEAR,2018,15.76
