IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,Age,RATE_PER_100_N,RATE_PER_100_NL,RATE_PER_100_NU
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,1999,Male,18 plus years,7.3190473,5.8733694,8.9052603
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2000,Male,18 plus years,7.7301852,6.3091859,9.2959069
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2003,Male,18 plus years,9.0430677,7.7599943,10.425528
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2011,Male,18 plus years,12.946513,11.76792,14.175631
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2013,Male,18 plus years,13.901043,12.683974,15.174146
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2016,Male,18 plus years,15.248753,13.75872,16.82426
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,1993,Female,18 plus years,12.065553,10.041343,14.264658
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,1995,Female,18 plus years,13.044873,11.186616,15.013258
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,1998,Female,18 plus years,14.573519,12.993181,16.222383
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2009,Female,18 plus years,20.519747,19.208276,21.858689
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2010,Female,18 plus years,21.160534,19.832782,22.529361
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2011,Female,18 plus years,21.822685,20.444189,23.215903
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2012,Female,18 plus years,22.496282,21.070513,23.948929
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2019,Female,18 plus years,27.030107,24.312538,29.701278
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,1994,Total,18 plus years,9.1826268,7.9149105,10.544837
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,1996,Total,18 plus years,10.022198,8.8519782,11.283854
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,1998,Total,18 plus years,10.912231,9.8057449,12.057187
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2004,Total,18 plus years,13.766444,12.843516,14.68544
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2005,Total,18 plus years,14.270094,13.352935,15.163347
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2011,Total,18 plus years,17.572729,16.669138,18.512022
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2012,Total,18 plus years,18.152933,17.215952,19.115892
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2015,Total,18 plus years,19.853628,18.795112,20.947362
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2017,Total,18 plus years,20.926742,19.597779,22.289807
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,1995,Male,18 plus years,5.8438845,4.2789694,7.6191045
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,1996,Male,18 plus years,6.1857682,4.6442103,7.9085551
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2001,Male,18 plus years,8.1544034,6.7692667,9.6660174
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2005,Male,18 plus years,9.9811547,8.765959,11.255807
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,1996,Female,18 plus years,13.547118,11.796827,15.410171
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2008,Female,18 plus years,19.90363,18.597032,21.244074
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2015,Female,18 plus years,24.507004,22.756186,26.221859
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2021,Female,18 plus years,28.288174,24.819219,31.730965
BEFA58B,Obesity in adults (age 18+),COUNTRY,170,Colombia,YEAR,2022,Female,18 plus years,28.934464,25.040895,32.860157
